Cuisine,Ratings,Number of Reviews,City
Mexican,3.9,925,SLC
Mexican,3.9,299,SLC
Mexican,4.5,2427,SLC
Mexican,4.1,349,SLC
Mexican,4.4,473,SLC
Mexican,4.4,337,SLC
Mexican,4.6,7280,SLC
Mexican,4.2,438,SLC
Mexican,4.6,991,SLC
Mexican,4.4,1358,SLC
American,4.4,560,SLC
American,4.6,529,SLC
American,4.5,939,SLC
American,3.8,2486,SLC
American,4.5,1385,SLC
American,4.5,1731,SLC
American,4.2,414,SLC
American,4.5,755,SLC
American,4.5,318,SLC
American,4.7,937,SLC
Chinese,3.8,161,SLC
Chinese,4.1,702,SLC
Chinese,4.2,811,SLC
Chinese,4.6,157,SLC
Chinese,4.1,576,SLC
Chinese,4.7,1377,SLC
Chinese,4.3,538,SLC
Chinese,4.1,1246,SLC
Chinese,4.4,284,SLC
Chinese,4.1,2440,SLC
Seafood,4.5,1253,SLC
Seafood,4.1,278,SLC
Seafood,4.6,3090,SLC
Seafood,4.7,332,SLC
Seafood,4.6,637,SLC
Seafood,4.5,571,SLC
Seafood,4.1,1392,SLC
Seafood,4.3,2461,SLC
Seafood,4.6,370,SLC
Seafood,4.2,783,SLC
Seafood,4.6,370,SLC
Seafood,4.2,1554,SLC
Italian,4.3,285,SLC
Italian,4.6,3203,SLC
Italian,4.5,2571,SLC
Italian,4.7,878,SLC
Italian,4.4,608,SLC
Italian,4,422,SLC
Italian,4.4,571,SLC
Italian,4.4,563,SLC
Italian,4.3,1188,SLC
Italian,4.3,2645,SLC
Italian,4.2,769,SLC
Italian,4.3,443,SLC
Italian,4.5,832,SLC
Italian,4.1,198,SLC
Italian,4.6,176,SLC
Thai,4.5,1922,SLC
Thai,4.6,761,SLC
Thai,4.7,276,SLC
Thai,4.8,481,SLC
Thai,4.3,283,SLC
Thai,4.5,758,SLC
Thai,4.6,432,SLC
Thai,4.8,841,SLC
Thai,4.7,623,SLC
Thai,4.5,328,SLC
Japanese,4.5,1204,SLC
Japanese,4.5,963,SLC
Japanese,4.1,816,SLC
Japanese,4.2,554,SLC
Japanese,4.4,491,SLC
Japanese,4.7,2141,SLC
Japanese,4.4,336,SLC
Japanese,4.6,867,SLC
Japanese,4.4,940,SLC
Japanese,4.4,668,SLC
Japanese,4.5,413,SLC
Japanese,4.4,2401,SLC
Japanese,4.4,606,SLC
Other,4.7,548,SLC
Other,4.6,3921,SLC
Other,4.6,1326,SLC
Other,4.3,1598,SLC
Other,4.6,1377,SLC
Other,4.5,1873,SLC
Japanese,4.3,1874,SLC
Other,4.5,3499,SLC
American,3.9,1754,SLC
Indian,4.4,1303,SLC
Indian,4.3,1232,SLC
Indian,4.5,257,SLC
Indian,4.3,1066,SLC
Indian,4.8,484,SLC
Indian,4.5,344,SLC
Indian,4.6,2352,SLC
Indian,4.6,927,SLC
Indian,4.2,201,SLC
Indian,4.4,687,SLC
American,3.9,368,SLC
Italian,4.7,2179,SD
Italian,4.5,4468,SD
Italian,4.6,1437,SD
Italian,4.7,927,SD
Italian,4.7,2179,SD
Italian,4.4,253,SD
Italian,4.7,256,SD
Italian,4.3,3314,SD
Italian,4.6,201,SD
Italian,4.5,456,SD
Japanese,4.6,626,SD
Japanese,4.5,798,SD
Japanese,3.8,121,SD
Japanese,4.5,477,SD
Japanese,4.6,215,SD
Japanese,4.6,852,SD
Japanese,4.1,192,SD
Japanese,4.7,170,SD
Japanese,4.7,186,SD
Japanese,4.3,183,SD
American,4.5,745,SD
American,4.4,824,SD
American,4.3,1148,SD
American,4.4,2288,SD
American,4.5,1932,SD
American,4.7,1449,SD
American,4.6,1244,SD
American,4.3,572,SD
American,4.1,2935,SD
American,4,1467,SD
Seafood,4.6,147,SD
Seafood,4.1,450,SD
Seafood,4.4,2287,SD
Seafood,4.5,353,SD
Seafood,4.6,796,SD
Seafood,4.6,2312,SD
Seafood,4.6,4339,SD
Seafood,4.2,1245,SD
Seafood,4.5,1579,SD
Seafood,4.6,1327,SD
Mexican,4.4,3438,SD
Mexican,4.7,3195,SD
Mexican,4.4,427,SD
Mexican,4,169,SD
Mexican,4.6,367,SD
Mexican,4.4,1284,SD
Mexican,4.1,422,SD
Mexican,4.3,692,SD
Mexican,4.7,316,SD
Mexican,4.2,716,SD
Chinese,4.3,204,SD
Chinese,3.9,172,SD
Chinese,3.7,142,SD
Chinese,4.3,438,SD
Chinese,4,117,SD
Chinese,4.3,448,SD
Chinese,4.2,1624,SD
Chinese,4.5,169,SD
Chinese,4.4,1515,SD
Chinese,4.2,383,SD
Chinese,4.5,1099,SD
Indian,4.3,228,SD
Indian,3.7,447,SD
Indian,4.3,324,SD
Indian,4.2,243,SD
Indian,3.9,383,SD
Indian,4,280,SD
Indian,4.4,536,SD
Indian,4.3,448,SD
Indian,4,246,SD
Thai,4.7,291,SD
Thai,4.5,555,SD
Thai,4.6,258,SD
Thai,4.4,138,SD
Thai,4.3,571,SD
Thai,4.5,650,SD
Thai,4.6,338,SD
Thai,3.7,116,SD
Thai,4.5,170,SD
Thai,4.2,376,SD
Other,4.5,846,SD
Other,4.3,517,SD
Other,4.6,295,SD
Seafood,4.6,577,SD
Seafood,4.6,960,SD
Seafood,4.4,873,SD
Seafood,4.3,144,SD
Other,4.5,3217,SD
Other,4.6,399,SD
Italian,4.8,401,SD
American,4.7,432,SD
American,4.4,401,SD
American,4.5,839,SD
Japanese,4.4,1008,SD
Seafood,4.7,1207,SD
Mexican,4.2,1376,SD
Mexican,4.2,268,SD
Mexican,3.9,215,SD
Mexican,3.9,750,SD
Indian,4.1,613,SD