Cuisine,Rating,Number of Reviews,Cost
Italian,4.7,2179,$$
Italian,4.5,4468,$$
Italian,4.6,1437,$$
Italian,4.7,927,$$
Italian,4.7,2179,$$
Italian,4.4,253,$$
Italian,4.7,256,$$
Italian,4.3,3314,$$
Italian,4.6,201,$$
Italian,4.5,456,$$
Japanese,4.6,626,$$
Japanese,4.5,798,$$
Japanese,3.8,121,$$
Japanese,4.5,477,$$
Japanese,4.6,215,$$
Japanese,4.6,852,$$$
Japanese,4.1,192,$
Japanese,4.7,170,$$
Japanese,4.7,186,$$
Japanese,4.3,183,$$
American,4.5,745,$$$$
American,4.4,824,$$
American,4.3,1148,$
American,4.4,2288,$$
American,4.5,1932,$
American,4.7,1449,$$
American,4.6,1244,$$
American,4.3,572,$$
American,4.1,2935,$$
American,4,1467,$$
Seafood,4.6,147,$
Seafood,4.1,450,$$
Seafood,4.4,2287,$$
Seafood,4.5,353,$$
Seafood,4.6,796,$
Seafood,4.6,2312,$$
Seafood,4.6,4339,$$
Seafood,4.2,1245,$$
Seafood,4.5,1579,$$$
Seafood,4.6,1327,$$$$
Mexican,4.4,3438,$$$
Mexican,4.7,3195,$
Mexican,4.4,427,$
Mexican,4,169,$
Mexican,4.6,367,$
Mexican,4.4,1284,$
Mexican,4.1,422,$
Mexican,4.3,692,$$
Mexican,4.7,316,$
Mexican,4.2,716,$$
Chinese,4.3,204,$
Chinese,3.9,172,$$
Chinese,3.7,142,$
Chinese,4.3,438,$$
Chinese,4,117,$
Chinese,4.3,448,$
Chinese,4.2,1624,$
Chinese,4.5,169,$
Chinese,4.4,1515,$
Chinese,4.2,383,$$
Chinese,4.5,1099,$
Indian,4.3,228,$$
Indian,3.7,447,$
Indian,4.3,324,$$
Indian,4.2,243,$
Indian,3.9,383,$
Indian,4,280,$$
Indian,4.4,536,$$
Indian,4.3,448,$$
Indian,4,246,$
Thai,4.7,291,$$
Thai,4.5,555,$$
Thai,4.6,258,$
Thai,4.4,138,$$
Thai,4.3,571,$$
Thai,4.5,650,$$
Thai,4.6,338,$
Thai,3.7,116,$
Thai,4.5,170,$$
Thai,4.2,376,$$
Other,4.5,846,$
Other,4.3,517,$
Other,4.6,295,$
Seafood,4.6,577,$$
Seafood,4.6,960,$$
Seafood,4.4,873,$$
Seafood,4.3,144,$
Other,4.5,3217,$$
Other,4.6,399,$
Italian,4.8,401,$$$
American,4.7,432,$
American,4.4,401,$
American,4.5,839,$$
Japanese,4.4,1008,$$
Seafood,4.7,1207,$$$$
Mexican,4.2,1376,$$
Mexican,4.2,268,$
Mexican,3.9,215,$
Mexican,3.9,750,$
Indian,4.1,613,$