Cuisine,Ratings,Number of Reviews,Cost
Mexican,3.9,925,$
Mexican,3.9,299,$$
Mexican,4.5,2427,$$
Mexican,4.1,349,$
Mexican,4.4,473,$
Mexican,4.4,337,$
Mexican,4.6,7280,$$
Mexican,4.2,438,$$
Mexican,4.6,991,$
Mexican,4.4,1358,$
American,4.4,560,$$$
American,4.6,529,$$
American,4.5,939,$$
American,3.8,2486,$
American,4.5,1385,$
American,4.5,1731,$$
American,4.2,414,$$
American,4.5,755,$$
American,4.5,318,$$
American,4.7,937,$
Chinese,3.8,161,$$
Chinese,4.1,702,$
Chinese,4.2,811,$$
Chinese,4.6,157,$
Chinese,4.1,576,$$
Chinese,4.7,1377,$$
Chinese,4.3,538,$$
Chinese,4.1,1246,$
Chinese,4.4,284,$
Chinese,4.1,2440,$$
Seafood,4.5,1253,$$$
Seafood,4.1,278,$$
Seafood,4.6,3090,$$
Seafood,4.7,332,$$
Seafood,4.6,637,$$$
Seafood,4.5,571,$$
Seafood,4.1,1392,$$
Seafood,4.3,2461,$$$
Seafood,4.6,370,$$
Seafood,4.2,783,$$
Seafood,4.6,370,$$
Seafood,4.2,1554,$$
Italian,4.3,285,$$
Italian,4.6,3203,$$
Italian,4.5,2571,$$
Italian,4.7,878,$$
Italian,4.4,608,$
Italian,4,422,$$
Italian,4.4,571,$$
Italian,4.4,563,$$
Italian,4.3,1188,$
Italian,4.3,2645,$$
Italian,4.2,769,$$
Italian,4.3,443,$$$
Italian,4.5,832,$$
Italian,4.1,198,$
Italian,4.6,176,$
Thai,4.5,1922,$$
Thai,4.6,761,$
Thai,4.7,276,$$
Thai,4.8,481,$
Thai,4.3,283,$$
Thai,4.5,758,$$
Thai,4.6,432,$
Thai,4.8,841,$
Thai,4.7,623,$$
Thai,4.5,328,$$
Japanese,4.5,1204,$$
Japanese,4.5,963,$$
Japanese,4.1,816,$$
Japanese,4.2,554,$$
Japanese,4.4,491,$$
Japanese,4.7,2141,$$
Japanese,4.4,336,$$
Japanese,4.6,867,$$
Japanese,4.4,940,$
Japanese,4.4,668,$$
Japanese,4.5,413,$$
Japanese,4.4,2401,$$$
Japanese,4.4,606,$$
Other,4.7,548,$$$
Other,4.6,3921,$$
Other,4.6,1326,$$
Other,4.3,1598,$$$
Other,4.6,1377,$$
Other,4.5,1873,$$
Japanese,4.3,1874,$$$
Other,4.5,3499,$$$
American,3.9,1754,$
Indian,4.4,1303,$$
Indian,4.3,1232,$$
Indian,4.5,257,$
Indian,4.3,1066,$$
Indian,4.8,484,$
Indian,4.5,344,$
Indian,4.6,2352,$$
Indian,4.6,927,$
Indian,4.2,201,$$
Indian,4.4,687,$$
American,3.9,368,$