Timestamp,Major,NotListedMajor,CreditHrs,GPA,Stress,Year,StudyHrs,GamingHrs,SleepHrs,GameSystem,GameGenre,Please enter some of your favorite games!,GameReason,GameStyle,GameHelp
2022/03/28 12:29:56 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,4,6,Sophomore,10-20 hours,5-10 hours,6-8 hours,PC;Switch,Simulation;Sandbox;Racing,"Minecraft, Sims, Mario Kart!",To Relax (i.e Destress),Single-player gaming,No
2022/03/28 2:23:01 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,4,7,Junior,10-20 hours,20-30 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Strategy;Platformer;Fighting;Visual Novel,"Killer7, Mother 3, Dead Rising, Deadly Premonition, Ghost Trick",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/03/28 8:26:35 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.8,6,Junior,5-10 hours,5-10 hours,6-8 hours,PC;Xbox,First-person shooters;Action-adventure;RPGs,"Destiny 2, apex, civ 6, aoe 2",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/28 8:33:01 AM CST,Computer Science,,13,4,9,Junior,40+ hours,5-10 hours,8-10 hours,PC;Switch;Retro console,Action-adventure;RPGs;Sandbox;Platformer;Fighting,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/28 8:59:37 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.7,6,Junior,5-10 hours,0-5 hours,6-8 hours,Mobile,Puzzle,,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/28 11:42:44 AM CST,Computer Science,,14,3.89,7,Sophomore,20-30 hours,20-30 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Simulation;Strategy;Platformer;Fighting,"Xenoblade Chronicles, Elden Ring, Kirby Super Star Ultra, Pokemon BW/BW2","All of the above, except for streaming.",Multi-Player (with a group) gaming,Yes
2022/03/28 1:23:51 PM CST,Computer Science,,14,3.8,5,Freshman,5-10 hours,5-10 hours,4-6 hours,Xbox,First-person shooters;Action-adventure;RPGs;Sandbox;Strategy,"For Honor, Halo Reach, Skyrim, Destiny 2",To Relax (i.e Destress),Multi-Player (with a group) gaming,Unsure
2022/03/28 1:26:15 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,2.4,8,Sophomore,20-30 hours,0-5 hours,4-6 hours,Mobile,Puzzle,Cody cross,To Have Fun (i.e No particular reason),Multi-player (alone) gaming,Unsure
2022/03/28 1:26:31 PM CST,Computer Science,,15,2,7,Sophomore,10-20 hours,5-10 hours,8-10 hours,Xbox;Mobile,First-person shooters;Puzzle,Warzone,To Relax (i.e Destress),Multi-player (alone) gaming,Unsure
2022/03/28 1:26:36 PM CST,Not Listed,Undeclared,14,3.6,7,Freshman,20-30 hours,0-5 hours,6-8 hours,PlayStation,First-person shooters;Action-adventure,"Call of Duty, Dark Souls, Elden Ring",To Challenge Yourself (i.e You Play Dark Souls),Single-player gaming,Unsure
2022/03/28 1:26:53 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",Mech E,14,3.5,7,Freshman,5-10 hours,0-5 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Sandbox;Racing;Sports,"Rainbow Six Siege, Rocket League, Fortnite, PUBG, CS:GO",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/28 1:26:55 PM CST,Biology,,15,3.925,5,Junior,5-10 hours,0-5 hours,4-6 hours,Mobile,Puzzle,Wordscapes,To Relax (i.e Destress),Single-player gaming,No
2022/03/28 1:27:05 PM CST,Not Listed,Architecture ,13,2.9,10,Sophomore,10-20 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Strategy,Project makeover,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/28 1:27:23 PM CST,Not Listed,Kinesiology,14,2.97,10,Super-senior,30-40 hours,0-5 hours,6-8 hours,Mobile,Puzzle,Wordle?,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/28 1:28:10 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,10,3,7,Junior,10-20 hours,0-5 hours,8-10 hours,PC;Mobile,Action-adventure;RPGs;Puzzle,"League of Legends, Archero",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/28 1:28:13 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.2,9,Freshman,20-30 hours,0-5 hours,6-8 hours,Going outside,I really don’t play games,Minecraft?,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/28 1:28:26 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.77,7,Freshman,20-30 hours,0-5 hours,6-8 hours,Xbox,First-person shooters,COD,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/28 1:28:47 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.2,8,Freshman,20-30 hours,0-5 hours,4-6 hours,Switch,Racing;Fighting,Mario Kart,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/28 1:29:34 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.175,7,Freshman,10-20 hours,5-10 hours,8-10 hours,PC;Xbox;Switch,First-person shooters,"Halo, Destiny, Pokémon, Smash Bros",To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/28 1:29:43 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.55,7,Freshman,20-30 hours,5-10 hours,6-8 hours,PC;Xbox;PlayStation;Switch,First-person shooters;Action-adventure;RPGs;Simulation;Sandbox;Racing;Strategy,"Ghost of Tsushima, horizon forbidden west, halo, forza horizon 5, Pokémon arceus, Zelda, From the depths, and stormworks. ",To Relax (i.e Destress),Single-player gaming,No
2022/03/28 1:32:01 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.1,9,Freshman,10-20 hours,0-5 hours,4-6 hours,PC,RPGs;Sandbox,"Minecraft, stardew valley",Play with friends,Multi-Player (with a group) gaming,Unsure
2022/03/28 1:33:37 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,18,3.75,5,Freshman,5-10 hours,5-10 hours,6-8 hours,Xbox;Mobile,Simulation;Racing;Strategy,"Forza Horizon (any), Rocket League, Car Mechanic Simulator, theHunter: Call of the Wild, Snowrunner, The Crew 2, ",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/28 1:36:42 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.6,8,Freshman,20-30 hours,0-5 hours,0-4 hours,PC,Simulation;Sandbox;Survival;Racing;Strategy,"Minecraft, Rocket league, Terraria, Astroneer, Subnautica, Beat Saber",To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/28 1:55:34 PM CST,Computer Science,,14,3.5,8,Sophomore,20-30 hours,5-10 hours,4-6 hours,PC,First-person shooters;Action-adventure;RPGs;Strategy;Fighting,"Zelda
Europa
Rainbow six siege
Elden ring",To Challenge Yourself (i.e You Play Dark Souls),Single-player gaming,Yes
2022/03/28 4:13:42 PM CST,Computer Science,,13,3.5,7,Sophomore,5-10 hours,0-5 hours,8-10 hours,Switch;Mobile,RPGs;Strategy,Clash Royale,To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/03/28 4:38:38 PM CST,Computer Science,,13,3.445,3,Sophomore,10-20 hours,5-10 hours,6-8 hours,PC,First-person shooters,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/28 4:39:43 PM CST,Computer Science,,14,3.8,7,Junior,30-40 hours,0-5 hours,6-8 hours,PC;Xbox;Switch;Mobile,Puzzle;Survival;Horror,,To Relax (i.e Destress),Multi-player (alone) gaming,Unsure
2022/03/28 8:40:06 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.87,9,Junior,10-20 hours,10-20 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs,"Elden Ring, Warframe, Risk of Rain 2",To Relax (i.e Destress),Single-player gaming,Unsure
2022/03/28 9:59:50 PM CST,Computer Science,,14,2.56,10,Junior,30-40 hours,5-10 hours,4-6 hours,PC,RPGs,"Stardew Valley, Minecraft, the Sims 4",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/03/28 10:25:26 PM CST,Computer Science,,12,3.4,7,Sophomore,10-20 hours,20-30 hours,6-8 hours,PC,First-person shooters,"Apex Legends, Battlefield 1, Escape from Tarkov, CSGO",To Rank Up (i.e Competitive Mode),Multi-Player (with a group) gaming,No
2022/03/29 10:38:51 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,16,3.8,8,Sophomore,0-5 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Strategy,,To Relax (i.e Destress),Single-player gaming,No
2022/03/29 11:36:56 AM CST,Computer Science,,13,3.6,7,Junior,10-20 hours,5-10 hours,6-8 hours,PC;PlayStation;Mobile,First-person shooters;Puzzle;Strategy,"Cod, dead by daylight, tft",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/29 12:13:35 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,12,3.56,9,Senior,20-30 hours,5-10 hours,4-6 hours,Xbox;Mobile,First-person shooters;Sandbox,"Overwatch, Halo, Minecraft",To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/29 12:14:11 PM CST,Computer Science,Double Major: Applied Mathematics,16,3.4,6,Junior,20-30 hours,0-5 hours,0-4 hours,PC,First-person shooters;Action-adventure;RPGs;Survival;Strategy,"FTL, Elden Ring",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/29 12:14:11 PM CST,Computer Science,,9,3,10,Sophomore,10-20 hours,0-5 hours,4-6 hours,Xbox;Mobile,Action-adventure;Puzzle;Strategy,Civilization,To Relax (i.e Destress),Single-player gaming,No
2022/03/29 12:17:07 PM CST,Computer Science,,11,3,7,Sophomore,5-10 hours,0-5 hours,6-8 hours,PC;Switch,Action-adventure;Puzzle;Sandbox;Survival;Strategy,"Stardew Valley, Breath of the Wild, Minecraft,Don’t Starve Together, Machinarium, Borderlands 2",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/29 12:17:09 PM CST,Computer Science,,17,4,8,Sophomore,30-40 hours,0-5 hours,6-8 hours,Switch,Action-adventure;RPGs;Racing;Strategy;Platformer;Fighting,"Xenoblade Chronicles (DE), Splatoon 2, Zelda: Twilight Princess",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/29 12:17:14 PM CST,Computer Science,,15,4,8,Sophomore,20-30 hours,0-5 hours,6-8 hours,Switch,Action-adventure;RPGs;Puzzle;Racing;Strategy;Platformer;Fighting;Rhythm,"Celeste, Hollow Knight, Mario Kart 8, Super Smash Bros Ultimate, Pokemon Emerald",To Challenge Yourself (i.e You Play Dark Souls),Multi-player (alone) gaming,No
2022/03/29 12:17:52 PM CST,Computer Science,,14,3.2,8,Sophomore,10-20 hours,10-20 hours,4-6 hours,PC,First-person shooters;Action-adventure;RPGs;Car’s soccer,"Rocket League
The binding of Isaac
All Dark souls/bloodborne/sekiro/Elden Ring
Fortnite 
",To Challenge Yourself (i.e You Play Dark Souls),Multi-Player (with a group) gaming,Unsure
2022/03/29 1:39:12 PM CST,Computer Science,,12,3.4,6,Junior,20-30 hours,20-30 hours,8-10 hours,PC;Mobile,Strategy;MOBA,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/29 2:23:46 PM CST,Computer Science,,15,4,4,Freshman,10-20 hours,5-10 hours,6-8 hours,PC,First-person shooters;RPGs;Strategy,Dark Souls. Valorant. CSGO,To Relax (i.e Destress),Multi-player (alone) gaming,No
2022/03/29 2:24:10 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,11,3.17,9,Freshman,5-10 hours,0-5 hours,6-8 hours,PC;Mobile,Action-adventure;Puzzle;Strategy,Uhhhhhh Portal,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/29 2:24:17 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.2,7,Sophomore,10-20 hours,5-10 hours,4-6 hours,PC,First-person shooters;Action-adventure;Survival;Strategy;Platformer,"League of legends, Minecraft ",To Relax (i.e Destress),Multi-player (alone) gaming,No
2022/03/29 4:28:18 PM CST,Computer Science,,13,3.3,8,Sophomore,20-30 hours,0-5 hours,8-10 hours,PC,RPGs;Sandbox;Racing,"Ark Survival Evolved, Forza Horizon 5, Space Engineers, Minecraft",To Relax (i.e Destress),Single-player gaming,Unsure
2022/03/29 4:32:10 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,16,3.766,8,Sophomore,10-20 hours,20-30 hours,4-6 hours,PC;Switch,Action-adventure;RPGs;Simulation;Strategy;Fighting,"Smash Ultimate, Rimworld, Stellaris, Destiny, Pokemon, Celeste",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/29 7:16:01 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.978,8,Sophomore,5-10 hours,0-5 hours,4-6 hours,Mobile,Sandbox;Survival,Minecraft,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/29 7:18:58 PM CST,Games,,16,3.6,5,Sophomore,20-30 hours,30-40 hours,8-10 hours,PlayStation,Action-adventure;Survival;Horror,"Uncharted 2, Firewatch, At Dead of Night, Horizon Zero Dawn",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/03/29 7:20:12 PM CST,Not Listed,Anthropology,15,3.7,8,Junior,10-20 hours,0-5 hours,6-8 hours,PC;Xbox;Switch,First-person shooters;Action-adventure;RPGs;Survival,"Elden Ring, Pokemon, Animal Crossing, Battlefield",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/03/29 7:30:50 PM CST,Biology,,13,3.7,6,Sophomore,30-40 hours,5-10 hours,8-10 hours,Switch,RPGs;Simulation;Sandbox;Survival;Platformer,"Pokemon, Breath of the Wild, Minecraft, Night in the Woods, Smash Bros, Super Mario series, Minecraft, Animal Crossing",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/30 9:23:33 AM CST,Not Listed,Data Science,17,3.4,10,Junior,40+ hours,0-5 hours,0-4 hours,PC;Switch,First-person shooters;Sandbox;Fighting;MOBA,"Minecraft, League of Legends, Risk of Rain, Valorant, Smash Bros",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/30 1:51:22 PM CST,Not Listed,Marketing,15,3.8,10,Senior,5-10 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Trivia,"Bubble pop, yahtzee",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/30 1:51:40 PM CST,Business,,12,3.2,1,Sophomore,5-10 hours,0-5 hours,6-8 hours,PC;Xbox,Simulation;Racing,"Assetto Corsa Competizone 
Assetto Corsa
Project Cars 2
Dirt Rally
Dirt Rally 2.0
Trackmania",To Challenge Yourself (i.e You Play Dark Souls),Multi-Player (with a group) gaming,No
2022/03/30 1:54:03 PM CST,"Medical (Nursing, Pharmacy, Dental, etc)",Kinesiology ,16,3.4,6,Freshman,10-20 hours,0-5 hours,8-10 hours,Mobile,Survival;Sports,Brawl Stars,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/30 1:55:51 PM CST,Business,,15,3.3,9,Freshman,5-10 hours,0-5 hours,4-6 hours,Mobile,Puzzle;Survival;Strategy,,To Relax (i.e Destress),Multi-Player (with a group) gaming,Unsure
2022/03/30 2:02:07 PM CST,Business,Finance ,15,3.87,9,Senior,10-20 hours,0-5 hours,6-8 hours,None,None,I don’t play video games,Not applicable,Single-player gaming,No
2022/03/30 2:04:03 PM CST,Education,,12,3.5,10,Freshman,0-5 hours,0-5 hours,6-8 hours,Xbox;Mobile,Simulation;Survival;Trivia,GTA,To Challenge Yourself (i.e You Play Dark Souls),Multi-player (alone) gaming,Unsure
2022/03/30 2:05:13 PM CST,Business,,15,3.87,10,Senior,20-30 hours,0-5 hours,6-8 hours,PC;Xbox;PlayStation;Switch,First-person shooters;Simulation;Puzzle;Strategy,"it takes two, little nightmares, wii u party",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/30 2:13:35 PM CST,Not Listed,Counseling Psychology,16,4,9,Post-graduate,10-20 hours,0-5 hours,6-8 hours,Xbox;Mobile,First-person shooters;Puzzle;Trivia,"Call of Duty, Rock Band, and Zen Match",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/30 2:16:06 PM CST,Education,,9 credits,4,8,Post-graduate,20-30 hours,0-5 hours,4-6 hours,Xbox;PlayStation;Mobile,First-person shooters;Action-adventure;RPGs;Puzzle,,To Relax (i.e Destress),Single-player gaming,Unsure
2022/03/30 2:29:23 PM CST,Not Listed,Anthropology,12,3.9,6,Junior,10-20 hours,10-20 hours,4-6 hours,Xbox;Switch,Action-adventure;RPGs;Sports,"FIFA, elden ring, and really any RPG, from octopath to xenoblade ",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/03/30 2:30:53 PM CST,Mathematics,,11,3.7,8,Junior,5-10 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Strategy,,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/30 2:34:16 PM CST,Not Listed,Data Science,14,2.8,10,Sophomore,20-30 hours,5-10 hours,6-8 hours,PlayStation;Switch;Mobile,Action-adventure;Racing;Strategy;Platformer,"Assassins creed, crash bandicoot, and legend of Zelda",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/03/30 2:34:30 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,4,10,Sophomore,40+ hours,0-5 hours,6-8 hours,PC;Xbox,First-person shooters;Action-adventure;Racing,"Halo, minecraft, Diablo 3, Skyrim",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/03/30 2:35:08 PM CST,Not Listed,Pre-Med post-grad Researcher,8,3.8,5,Post-graduate,20-30 hours,0-5 hours,6-8 hours,Dating apps and don't kid yourself; they are games. ,Sports,Anything soccer and then dating apps ,To Have Fun (i.e No particular reason),Multi-player (alone) gaming,Unsure
2022/03/30 2:38:57 PM CST,English/Literature,,15,2.8,5,Super-senior,5-10 hours,0-5 hours,6-8 hours,PlayStation;Switch,First-person shooters;Action-adventure;Puzzle;Survival;Sports;Platformer,"Legend of Zelda
Dead by Daylight
Super Mario",To Have Fun (i.e No particular reason),Multi-player (alone) gaming,No
2022/03/30 2:39:08 PM CST,Not Listed,environmental and sustainability studies ,6,3,9,Super-senior,5-10 hours,0-5 hours,4-6 hours,Retro console,Action-adventure;Puzzle;Strategy;Fighting,"zelda, mario games, tak, star wars",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/03/30 2:39:17 PM CST,Computer Science,,12,3.8,7,Junior,10-20 hours,0-5 hours,6-8 hours,Xbox,First-person shooters,Apex,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/30 2:41:10 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,12,4,2,Freshman,30-40 hours,5-10 hours,6-8 hours,PC,First-person shooters;Simulation,Escape from tarkov!!,To Challenge Yourself (i.e You Play Dark Souls),Multi-Player (with a group) gaming,No
2022/03/30 2:42:34 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,11,3.7,7,Junior,10-20 hours,5-10 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Survival;Horror,"Deep rock galactic, fallout 4",To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/30 2:42:40 PM CST,Computer Science,,12,3.5,7,Senior,30-40 hours,5-10 hours,6-8 hours,PC,Action-adventure;RPGs,Valheim ,To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/30 2:43:08 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,17,3,7,Freshman,20-30 hours,5-10 hours,4-6 hours,PC;Xbox;Mobile,First-person shooters;Action-adventure;RPGs;Puzzle;Strategy;Platformer,"Hollow knight, Clash Royale, COD,  Elden Ring",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/30 2:43:30 PM CST,Computer Science,,15,3.75,7,Sophomore,5-10 hours,5-10 hours,8-10 hours,PC;Switch;Mobile,Puzzle;Sandbox;Strategy;Platformer,"Noita, Minecraft, No Mans Sky, Astroneer",To Relax (i.e Destress),Single-player gaming,Yes
2022/03/30 2:43:57 PM CST,Not Listed,Metallurgical Engineering,12,3.537,7,Sophomore,10-20 hours,10-20 hours,8-10 hours,PC;Mobile,RPGs,"Bloodborne, Elden Ring, World of Warships, Final Fantasy XIV, Dark Souls III",To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/03/30 2:43:58 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,17,4,7,Freshman,30-40 hours,0-5 hours,6-8 hours,PC,First-person shooters;Sandbox;Strategy;Fighting,"Valorant, Super Smash Bros, Minecraft, Risk of Rain 2",Interact with other people,Multi-Player (with a group) gaming,Unsure
2022/03/30 2:44:21 PM CST,Computer Science,,12,3.8,7,Senior,20-30 hours,20-30 hours,6-8 hours,PC,Action-adventure;RPGs,,To Relax (i.e Destress),Multi-Player (with a group) gaming,Unsure
